Model Id,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10
bow_en,28.876,29.061,29.101,29.134,29.25,28.947,28.788,29.138,29.174,29.501
bow_es,16.483,16.522,16.862,16.358,17.074,16.723,16.828,16.04,16.335,15.659
bow_fair,28.876,29.061,29.101,29.134,29.25,28.947,28.788,29.138,29.174,29.501
char_cnn_bilstm_us_train_128_128,28.572,29.526,29.353,29.361,29.015,29.562,28.982,29.329,29.896,29.282
char_cnn_bilstm_us_train_128_128_es,15.722,16.067,15.98,16.609,16.235,15.842,16.703,16.534,16.632,15.197
char_cnn_lstm_us_train,29.096,29.707,28.261,28.926,29.789,29.218,28.333,29.13,28.833,28.868
char_cnn_lstm_us_train_128_128,29.471,29.362,29.243,29.636,29.47,28.961,28.505,29.763,29.373,29.218
char_cnn_lstm_us_train_128_128_fair_training,29.227,29.872,28.349,29.298,29.228,29.679,29.383,29.204,29.876,29.408
char_cnn_lstm_us_train_17,28.951,29.167,28.908,29.197,29.404,29.001,28.686,28.876,28.891,28.733
char_lstm_us_train_17,24.356,24.357,24.204,23.881,23.917,25.158,24.101,24.549,24.321,24.961
char_lstm_us_train_17_128_128,27.684,27.744,27.793,28.01,28.334,28.549,26.961,28.237,27.476,27.511
lsvc_en,32.909,32.688,32.395,32.97,32.731,32.967,32.3,32.565,32.829,32.951
lsvc_es,17.964,17.827,17.755,18.656,18.31,17.936,17.962,17.495,17.9,18.036
mfc_en,1.783,1.797,1.762,1.784,1.79,1.782,1.771,1.8,1.776,1.798
mfc_es,1.687,1.777,1.723,1.767,1.781,1.752,1.793,1.729,1.741,1.737
rand_en,4.591,4.503,4.48,4.47,4.421,4.471,4.507,4.519,4.365,4.578
rand_es,4.802,4.638,5.06,4.861,4.737,4.597,4.858,5.277,4.598,4.973
word_cnn,25.789,22.054,22.751,22.611,22.58,23.079,23.332,23.811,23.678,22.998
